"csname","caption","Serialnumber","Version","RegisteredUser","CountryCode"
"DESKTOP-T68LFNU","Майкрософт Windows 10 Pro","00331-10000-00001-AA950","10.0.19045","Руслан","7"
"csname","caption","Serialnumber","Version","RegisteredUser","CountryCode"
"DESKTOP-T68LFNU","Майкрософт Windows 10 Pro","00331-10000-00001-AA950","10.0.19045","Руслан","7"
"csname","caption","Serialnumber","Version","RegisteredUser","CountryCode"
"DESKTOP-T68LFNU","Майкрософт Windows 10 Pro","00331-10000-00001-AA950","10.0.19045","Руслан","7"
"csname","caption","Serialnumber","Version","RegisteredUser","CountryCode"
"DESKTOP-T68LFNU","Майкрософт Windows 10 Pro","00331-10000-00001-AA950","10.0.19045","Руслан","7"
"csname","caption","Serialnumber","Version","RegisteredUser","CountryCode"
"DESKTOP-T68LFNU","Майкрософт Windows 10 Pro","00331-10000-00001-AA950","10.0.19045","Руслан","7"
